Security Code,Security Id,Security Name,Group,Industry,Instrument
949019,980RCL2023B,Reliance Capital Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949024,13MFL2023A,Manappuram Finance Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949030,985RCL2023F,Reliance Capital Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949031,1235MFL2023,Muthoot Finance Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949055,1065STFC23E,Shriram Transport Finance Company Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949056,1065STFC23F,Shriram Transport Finance Company Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949069,1205RFL2023,RELIGARE FINVEST Ltd,F ,Other Financial Services,Debentures and Bonds
949096,1125SEFL23C,SREI Equipment Finance Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949105,950RCL23A,Reliance Capital Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949115,1070MFL2023,Magma Fincorp Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949126,970MMFSL23B,Mahindra & Mahindra Financial Services Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949141,920ISEC2023,ICICI Securities Primary Dealership Ltd,F ,Other Financial Services,Debentures and Bonds
949153,IFCI230413B,IFCI Factors Ltd,F ,Financial Institutions,Debentures and Bonds
949154,895JUPL2023,Jamnagar Utilities & Power Pvt. Ltd,F ,Electric Utilities,Debentures and Bonds
949155,965BFL2023,Bajaj Finance Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949156,1130SRSL24,Shree Renuka Sugars Ltd.,F ,Sugar,Debentures and Bonds
949171,948RHFL2025,Reliance Home Finance Ltd,F ,Housing Finance ,Debentures and Bonds
949179,9GIL2023,Grasim Industries Ltd,F ,Diversified,Debentures and Bonds
949182,1065STFC23A,Shriram Transport Finance Company Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949183,STFC020513B,Shriram Transport Finance Company Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949204,SREI070513B,SREI Equipment Finance Ltd,F ,Financial Institutions,Debentures and Bonds
949214,1024IFCI23,IFCI Factors Ltd,F ,Financial Institutions,Debentures and Bonds
949221,1210MAGMA,Magma Fincorp Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949227,LARSEN2023,Larsen & Toubro Ltd,F ,Construction & Engineering,Debentures and Bonds
949228,1025STFC23A,Shriram Transport Finance Company Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949229,1025STFC23B,Shriram Transport Finance Company Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949234,950MMFSL23B,Mahindra & Mahindra Financial Services Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949236,940RCL2023A,Reliance Capital Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949242,1002JSW2023,JSW Steel Ltd,F ,Iron & Steel/Interm.Products,Debentures and Bonds
949246,950RHFL2023,Reliance Home Finance Ltd,F ,Housing Finance ,Debentures and Bonds
949250,10STFC2028B,Shriram Transport Finance Company Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949281,114ICFL23B,IndoStar Capital Finance Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949296,845SPTL23,Sikka Ports & Terminals Ltd,F ,Utilities:Non-Elec.,Debentures and Bonds
949297,1015STFC23A,Shriram Transport Finance Company Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949319,925RCL2023B,Reliance Capital Ltd,F ,Finance (including NBFCs),Debentures and Bonds
949336,1250EPL2024,ESSAR POWER Ltd,F ,Electric Utilities,Debentures and Bonds
949342,955MML2063,Mahindra & Mahindra Ltd.,F ,Cars & Utility Vehicles,Debentures and Bonds
